AtGeneID,At_RT_35S,At_RT_V,At_RT_EN,At_MZ,At_EP,At_PH,At_MCO,At_COR
AT2G26560,36.08,29.49,35.85,28.13,25.69,22.57,32.92,22.59
AT2G26570,230.78,215.14,211.45,209.03,193.54,247.71,169.47,290.53
AT2G26580,18.94,17.59,18.61,19.87,21.66,21.57,21.91,21.43
AT2G26590,1314.58,1087.19,1054.81,1164.23,1046.41,1171.26,1092.64,880.38
AT2G26600,468.83,453.7,337.77,444.6,443.02,894.11,361.39,531
AT2G26630,18.08,20.19,18.63,17.96,18.81,20.76,19.09,21.22
AT2G26640,354.55,599.8,543.5,319.79,249.6,279.09,246.69,562.24
AT2G26650,317.01,676.51,622.18,603.53,942.75,607.39,654.39,894.88
AT2G26660,119.47,113.33,60.64,323.35,455.46,1149.18,222.65,334.65
AT2G26670,889.06,678.11,601.01,812.57,614.55,880.42,670.07,1002.58
AT2G26680,167.46,128.79,96,165.79,127.1,106.65,68.33,126.76
AT2G26690,550.52,510.9,627.46,429.86,407.82,202.93,301.99,466.17
AT2G26700,23.91,23.24,21.76,30.19,25.67,24.07,22.8,23.17
AT2G26710,127.26,84.13,189.53,59.21,66.73,61,101.66,95
AT2G26730,662.24,527.68,236.02,1502.72,570.55,1017.23,327.59,378.82
AT2G26740,67.47,73.75,43.44,69.53,64.99,43.09,47.75,39.83
AT2G26760,971.83,485.7,251.16,645.15,293.18,151.41,298.51,125.25
AT2G26770,155.28,183.59,165.81,379.2,193.36,251.8,126.03,362.47
AT2G26780,571.2,603.49,1049.21,443.47,421.02,508.65,448.4,427.39
AT2G26800,1839.76,1339.1,2116.16,705.53,650.31,659.24,853.75,1022.04
AT2G26810,109.14,124.98,105.9,124.05,129.31,103.21,135.45,132.68
AT2G26820,23.15,25.92,29.31,24.4,24.43,26.36,33.13,26.53
AT2G26830,143.56,121.88,125.96,212.35,270.94,206.54,306.13,391.99
AT2G26850,26.18,23.4,27.89,18.42,19.86,20.6,19.7,19.55
AT2G26890,547.81,462.85,727.39,319.09,249.08,335.57,269.9,530.85
AT2G26900,374.68,212.69,413.51,270.21,169.6,159.84,193.72,308.5
AT2G26910,153.23,155.53,364.95,119.14,118.28,104.72,158.52,72.34
AT2G26920,387.74,245.07,267.01,279.94,200.2,230.73,156.58,253.87
AT2G26930,95.93,67.72,82.82,144.9,109.45,121.35,113.2,105.72
AT2G26940,30.57,25.97,29.23,31.61,30.01,36.49,29.7,34.49
AT2G26970,188.11,169.68,171.76,186.63,177.66,163.49,213.9,182.15
AT2G26980,291.25,213.7,306.6,684.82,365.79,354.85,291.63,976.14
AT2G26990,545.29,409.55,551.73,500.59,361.54,413.89,352.73,371.14
AT2G27000,198.52,478.63,423.92,142.61,150.33,141.51,276.97,617.36
AT2G27010,57.31,115.77,95.57,22.03,78.79,51.37,112.17,50.88
AT2G27020,822.79,1050.07,687.79,2549.74,1763.36,2545.44,2178.49,1723.69
AT2G27030,132.87,146.53,105.5,1032.9,1546.4,3040.29,799.27,763.92
AT2G27040,827.52,697.25,1216.71,526.4,477.6,627.34,492.36,190.75
AT2G27050,390.96,422.73,537.87,382.79,404.88,610.97,479.99,528.85
AT2G27060,322.15,271.18,220.43,307.35,340.53,182.81,189.68,156.5
AT2G27080,123.22,126.57,93.99,145.49,138.57,106.54,126.02,104.6
AT2G27090,228.95,241.84,223.74,208.35,220.38,371.24,249.96,276.87
AT2G27100,172.23,175.64,513.32,113.66,230.98,145.29,111.33,116.73
AT2G27110,163.09,133.39,137.41,182.46,112.04,128.74,109.64,134.39
AT2G27130,269.8,251.09,94.47,338.97,289.33,212.62,282.52,181.15
AT2G27140,74.03,62.99,44.02,122.57,63.2,37.16,44.23,27.31
AT2G27150,274.87,259.91,459.53,113.89,274.3,374.55,252.67,202.67
AT2G27170,19.48,17.6,27.7,26.33,32.61,34.87,73.73,34.17
AT2G27190,1169.32,1106.67,981.55,1014.05,744.88,623.36,1039.54,1134.76
AT2G27200,343.77,178.41,414.43,240.62,214.02,265.81,202.97,251.09
AT2G27230,394.04,251.44,187.08,925.16,471.36,626.63,496.58,269.61
AT2G27260,364.08,444.69,218.12,333.35,338.2,309.51,183.16,258.52
AT2G27285,356.64,443.77,236.15,329.82,305.14,268.24,251.02,315.37
AT2G27290,95.74,71.67,67.97,150.04,131.09,140.96,105.09,193.62
AT2G27300,29.43,26.32,19.37,47.87,32.36,19.8,23.9,20.78
AT2G27310,34.05,38.12,26.96,37.45,41.82,44.49,43.97,74.67
AT2G27320,50.65,48.72,56.48,37.23,33.36,33.88,35.06,38.18
AT2G27330,69.74,78.04,84.54,77.73,75.51,79.98,99.5,75.8
AT2G27340,196.37,295.14,346.91,111.99,185.98,193.36,319.6,108.26
AT2G27350,305.53,431.27,248.7,493.73,362.66,330.06,407.79,685.18
AT2G27360,158.67,372.87,280.13,229.2,248.82,207.5,382.29,618.4
AT2G27370,176.43,461.62,984.47,166.69,109.95,218.7,189.78,108.24
AT2G27375,26.93,20.51,24.58,17.55,17.34,17.01,16.31,18.23
AT2G27380,33.77,32.1,40.64,29.11,28.43,29.68,26.44,34.27
AT2G27390,30.4,27.63,36.09,22.56,26.17,28.62,27.91,25.71
AT2G27420,21.25,20.72,18.79,19.49,22.46,20.84,20.86,20.7
AT2G27450,1300.09,813.8,564.51,1461.95,1643.4,3382.81,1015.48,1284.98
AT2G27460,297.73,311.05,473.66,242.4,310.08,300.43,306.93,210.89
AT2G27470,72.33,74.19,50.15,170.14,146.91,103.9,138.18,93.81
AT2G27480,142.69,329.56,246.47,67.59,137.09,194.51,218.27,110.84
AT2G27490,504.1,668.28,430.47,290.01,394.55,321.44,399.22,321.28
AT2G27500,90.64,177.66,95.77,135.59,205.92,189.7,190.21,356.05
AT2G27510,4383.18,4814.91,3360.59,8301.33,8152.79,5652.28,7815.38,9598.63
AT2G27530,2025.11,2353.68,1777.36,3301.91,2408.72,2594.59,3897.7,2079.82
AT2G27550,5742.14,1706.27,1077.73,4545.82,10311.64,19581.83,2480.76,1634.57
AT2G27580,316.08,255.79,300.46,382.19,302.35,313.68,278.24,402.84
AT2G27590,418.65,228.75,363.29,237.84,191.97,171.76,196.23,313.44
AT2G27600,1832.47,1282.89,1897.09,1573.52,891.71,1361.31,1012.3,1620.53
AT2G27650,45.05,50.77,39.12,27.56,26.21,30.62,28.38,26.86
AT2G27660,78.49,91.22,104.78,129.69,136.05,109.13,165.21,299.22
AT2G27680,126.78,77.55,85.71,177.97,103.37,172.92,128.39,180.41
AT2G27690,65.77,55.16,61.65,69.67,106.48,215.88,63.52,183.06
AT2G27710,904.87,1674.48,668.48,4190.9,2459.36,2323.34,4012.03,2727.43
AT2G27720,1540.65,2058.67,1714.09,4363.57,3784.97,3271.59,4786.28,2276.84
AT2G27730,815.92,1254.91,701.99,1530.53,869.1,1066.41,1157.32,1515.29
AT2G27740,144.95,187.36,63.29,309.11,80.97,75.39,151.47,71.57
AT2G27760,108.69,73.54,109.3,110.47,150.97,127.03,143.45,93.84
AT2G27775,81.82,68.3,82.05,83.28,82.87,70.35,82.78,69.1
AT2G27790,52.91,45.34,44.33,47.06,52.74,62.09,50.01,49.88
AT2G27800,18.1,14.49,13.16,24.36,32.44,29.57,28.07,20.8
AT2G27810,194.99,149.9,161.94,243.04,255.14,152.62,362.33,188.26
AT2G27820,520.61,378.6,378.22,373.47,288.2,234.82,297.65,568.5
AT2G27830,110.19,114.12,128.45,109.49,228.58,123.87,232.24,298.14
AT2G27840,107.73,275.42,144.68,598.67,353.56,388.66,633.35,322.87
AT2G27860,1701.64,1443.75,1166.67,2823.01,1305.82,2396.1,1290.46,2181.81
AT2G27900,37.18,49.7,55.35,42.01,28.58,32.24,27.96,44.09
AT2G27910,257.33,222.88,211.75,348.86,215.4,235.22,225.99,421.34
AT2G27920,447.04,494.46,897.93,202.58,206.06,118.89,211.17,496.45
AT2G27940,27.7,22.68,25.07,20.22,19.59,23.19,19.91,20.73
AT2G27960,310,393.54,340.24,629.14,949.62,1604.73,551.71,364.83
AT2G27970,692.19,388.29,125.25,1789.06,820.75,421.51,825.08,294.67
AT2G27980,116.15,127.13,156.37,152.22,142.48,170.83,120.9,144.44
AT2G27990,26.84,30.81,32.85,28.39,28.25,26.36,28.9,31.81
AT2G28000,2619.14,2393.84,3276.63,2100.95,1225.12,1353.82,1320.09,1378.38
AT2G28050,24.44,24.64,22.2,31.7,26.55,27.42,31.95,30.63
AT2G28060,211.35,253.09,350.06,332.89,472.75,442.75,520.06,270.4
AT2G28070,498.63,650.09,737.75,262.8,375.29,364.59,524.19,188.37
AT2G28080,192.45,151.49,90.59,454.45,353.56,618.72,289.46,191.8
AT2G28085,29.09,32.76,30.73,23.76,27.68,25.89,26.55,25.93
AT2G28110,943.21,2418.69,2527.55,782.72,1612.62,1592.22,2178.2,1886.03
AT2G28120,108.68,85.79,94.31,115.41,100.43,81.23,69.89,419.65
AT2G28130,141.23,102.17,124.55,59.78,69.3,74.31,58.89,66.97
AT2G28160,104.97,100.05,150.54,152.52,185.86,171.04,363.13,233.07
AT2G28190,859.33,1475.67,1003.69,2270.7,2082.03,2383.39,2327.93,1129.26
AT2G28200,683.57,437.61,652.96,326.91,198.73,231.85,329.27,405.09
AT2G28230,1916.65,1341.56,844.87,1973.14,1922.94,1799.92,2225.12,1202.05
AT2G28240,157.03,1096.62,300.94,96.59,497.67,316.85,322.1,123.93
AT2G28250,639.58,594.39,838.76,598.58,507.87,518.23,576.01,334.66
AT2G28260,44.04,54.31,52.19,47.35,54.32,116.31,46.19,37.27
AT2G28270,63.11,51.62,68.99,55.77,63.71,60.63,95.27,53.95
AT2G28290,1055.18,945.67,1646.55,606.21,630.04,837.45,694.76,540.79
AT2G28305,58.96,48.33,35.27,126.54,60.49,43.77,45.38,45.41
AT2G28310,230.45,248.19,83.58,893.05,373.42,480.34,325.09,287.29
AT2G28320,432.19,528.81,1007.41,333.81,538.85,449.94,784.43,338.69
AT2G28330,48.37,52.11,55.26,65.77,52.47,69.55,58.38,56.14
AT2G28350,178.85,176.32,183.6,214.63,201.59,204.52,218.46,235.24
AT2G28360,72.97,120.4,165.46,63.92,63.06,67.35,64.15,79.85
AT2G28370,493.63,583.04,490.3,695.94,507.44,580.55,602.46,654.03
AT2G28380,336.92,218.73,366.42,362.14,221.58,236.75,233.45,242.93
AT2G28390,382.91,247.05,416.84,368.05,282.98,390.33,373.56,378.77
AT2G28400,49.32,71.66,60.15,68.43,85.18,76.37,107.32,164.57
AT2G28410,130.75,137.5,69.53,230.45,56.41,62.65,75.8,68.87
AT2G28420,19.52,22.61,18.79,17.48,19.31,20.3,20.16,19.76
AT2G28430,116.32,60.47,67.87,365.83,414.16,373.83,439.8,353.93
AT2G28450,210.73,239.34,402.51,216.39,323.06,244.85,398.79,171.34
AT2G28460,68.96,60.45,55.17,34.48,53.89,52.35,60.38,52.84
AT2G28470,1435.07,2518.41,4652.17,1016.43,1097.12,1117.06,1591.09,365.49
AT2G28490,40.77,28.92,29.93,27.78,28.35,28.88,25.37,28.4
AT2G28510,389.74,159.18,107.2,523.17,401.8,698.54,113.45,106.59
AT2G28520,472.26,266.07,441.93,307.01,195.38,261.37,214.41,395.85
