AtGeneID,At_RT_35S,At_RT_V,At_RT_EN,At_MZ,At_EP,At_PH,At_MCO,At_COR
AT1G01010,41.14,39.61,48.18,75.97,94.82,73.93,85.1,224.85
AT1G01040,187.07,525.38,690.9,142.56,620.3,482.23,518.6,227.61
AT1G01050,1561.94,992.44,1039.57,1436.93,1449.53,1731.16,1854.26,943.28
AT1G01060,163.57,227.98,345.8,143.65,206.97,172.23,190.24,424.18
AT1G01070,261.06,148.69,110.75,440.45,304.07,423.56,223.71,79.34
AT1G01080,91.79,82.81,65.72,57.02,54.8,39.33,39.78,61.27
AT1G01090,2923.98,3869.47,7284.66,2930.03,2660.21,3511.41,3341.98,2054.39
AT1G01100,1125.64,2919.85,1252.56,4493.58,3497.9,2730.66,4355.68,2815.85
AT1G01110,43.89,54.13,137.02,37.36,62.32,89.36,60.18,40.82
AT1G01120,209.84,526.96,852.08,450.33,427.34,404.01,482.29,257.47
AT1G01140,30.73,24.05,41.8,18.16,26.11,22.23,22.99,41.48
AT1G01160,386.2,397.38,233.37,201.42,179.71,155.52,169.41,153.87
AT1G01170,96.59,68.58,36.64,387.74,422.44,216.74,158.01,342.98
AT1G01180,39.11,45.3,49.46,28.98,31.94,34.65,35.17,32.52
AT1G01190,179.31,66.78,96,405.84,1340.26,3923.04,211.62,401.25
AT1G01200,143.72,182.65,112.33,208.61,179.98,168.01,164.52,75.62
AT1G01220,242.58,514.65,501.97,212.78,301.34,303.6,422.52,280.48
AT1G01225,86.25,120.03,144.25,93.66,80.68,68.73,91.29,41.97
AT1G01230,545.43,345.77,343.51,606.77,474.41,457.98,450.89,674.71
AT1G01240,551.42,557.64,425.58,773.61,530.45,378.17,486.29,465.62
AT1G01250,25.55,27.34,29.45,26.06,27.63,25.02,25.56,27.53
AT1G01260,136.76,195.22,228.43,155.35,178.13,166.71,208.3,170.24
AT1G01290,175.79,192.91,105.94,269.11,237.36,238.41,229.27,214.57
AT1G01300,1387.84,1227.5,728.84,1919.95,1567.26,1791.88,1452.17,750.11
AT1G01320,39.92,44.74,48.19,51.51,57.53,55.08,58.19,67.75
AT1G01340,153.55,116.24,405.37,106.01,140.47,159.54,159.19,172.54
AT1G01360,136.05,100.34,82.26,370.39,277.18,263.08,192.26,508.53
AT1G01370,30.58,31.65,31.23,39.24,35.75,26.03,33.8,24.27
AT1G01380,26.68,24.38,27.8,33.01,32.69,32.41,34.21,25.72
AT1G01390,20.52,17.01,19.61,17.96,16.85,18.14,17.86,20.07
AT1G01420,53.04,55.97,46.7,69.13,86.56,54.56,71.27,177.05
AT1G01430,303.54,529.97,487.39,214.61,358.54,319.23,305.83,476.95
AT1G01440,62.35,49.12,44.41,78.5,54.8,76.07,71.03,117.92
AT1G01470,1123.7,704.88,301.92,2794.75,7623.16,13186.57,1343.24,1486.1
AT1G01480,66.04,69.73,161.25,39.83,43.62,54.56,57,38.66
AT1G01490,678.24,1396.91,847.11,1117.01,1845.33,814.61,1448.3,2354.32
AT1G01500,341.34,314.84,382.35,319.1,268.07,327.93,242.2,445.08
AT1G01510,282.6,374.73,399.63,568.16,398.97,538.59,526.75,361
AT1G01520,17.28,19.53,20.32,15.33,17.59,17.14,17.01,17
AT1G01540,424.33,394.07,497.17,317.34,324.68,357.5,437.53,454.9
AT1G01550,962.25,1021.3,1244.76,1350.49,1268.21,1300.92,1408.76,1675.88
AT1G01560,30.14,27.9,29.66,31.96,29.99,30.72,32.56,37.67
AT1G01570,61.41,54.72,176.88,81.55,49.37,63.22,79.87,35.81
AT1G01600,49.37,53.65,222.69,60.49,65.74,68.65,131.64,45.8
AT1G01610,135.32,134.02,437.61,134.04,126.76,77.81,139.04,59.5
AT1G01620,8279.64,9746.96,7912.21,8336.2,5169.22,5987,4657.73,6527.56
AT1G01630,700.15,797.66,781.57,800.99,848.35,503.68,1130,1185.34
AT1G01640,759.3,469.28,167.05,1472.13,715.34,905.17,358.04,187.75
AT1G01650,677.19,460.05,478.52,290.35,256.06,289.59,273.93,302.71
AT1G01660,45.78,102.86,107.67,27.26,36.5,37.94,44.59,25.4
AT1G01670,83.66,86.53,124.11,51.06,73.31,65.33,81.76,86.31
AT1G01700,19.28,16.97,17.09,22.1,17.23,16.47,16.44,17.04
AT1G01710,582.61,792.48,599.32,368.21,402.64,379.26,412.62,395.36
AT1G01720,325.47,583.2,580.69,791.89,1093.48,777.37,1130.74,882.35
AT1G01725,67.79,63.98,49.39,107.36,146.15,139.71,95.82,80.58
AT1G01730,491.82,363.09,345.71,448.75,614.8,440.93,527.73,360.89
AT1G01740,68.95,53.89,57.96,54.48,58.69,69.31,51.72,65.19
AT1G01750,209.62,407.57,290.4,178.93,358.44,497.69,1167.94,99.78
AT1G01770,111.75,89.27,170.19,68.53,133.3,174.82,153.86,58.64
AT1G01780,289.19,271.42,279.87,288.99,319.37,569.47,254.07,118.62
AT1G01790,495.67,568.06,874.7,267.57,284.08,244.09,304.41,319
AT1G01800,1370.24,1025.53,794.93,1674.6,1624.33,2227.82,1604.25,2417.35
AT1G01820,366.04,314.09,285.85,520.51,453.82,403.67,387.7,732.49
AT1G01830,74.01,100.96,73.11,89.31,86.12,75.93,93.09,134.95
AT1G01840,82.15,90.7,94.64,85.32,91.81,89.81,83.59,63.84
AT1G01860,116.81,100.53,87.11,99.29,87.25,89.52,79.73,86.04
AT1G01900,404.08,432.64,179.55,439.02,88.51,89.47,90.04,93.5
AT1G01910,242.51,242.66,246.61,516.51,293.21,377.19,338.32,499.55
AT1G01920,135.72,156.06,124.48,83.25,86.9,74.08,83.79,59.51
AT1G01930,132.86,148.18,229.11,175.64,215.76,208.31,189.41,187.73
AT1G01940,398.74,209.46,180.99,763.72,556.06,660.4,703.65,381.99
AT1G01950,411.67,430.97,461.78,245.92,264.62,173.44,208.47,225.9
AT1G01960,543.52,520.25,561.83,643.52,355.13,636.72,361.8,686.83
AT1G01970,149.47,161.2,134.49,187.77,130.79,192.44,273.82,130.06
AT1G01990,82.74,104.37,77.56,121.53,143.53,126.75,116.42,96.71
AT1G02000,93.79,132.5,148.51,114.2,78.3,90.31,101.8,166.68
AT1G02020,276.7,661.51,373.2,123.72,227.54,244.94,299.51,161.21
AT1G02050,41.89,70.16,62.51,37.81,38.69,44.14,70.43,36.93
AT1G02080,1271.37,1403.16,1954.48,582.36,552.86,678.23,651.17,588.06
AT1G02090,167.58,117.31,129.96,158.72,99.8,104.18,79.65,99.57
AT1G02100,95.1,128.85,196.44,153.54,125.1,156.58,164.1,173.7
AT1G02110,242.5,506.71,284.59,110.81,279.7,167.37,228.79,63.02
AT1G02120,187.24,237.94,233.79,225.55,419.69,242.15,346.19,311.32
AT1G02130,433.5,355.49,307.5,722.18,531.02,549.54,473.66,597.25
AT1G02140,588.46,437.02,391.31,1547.22,1084.55,893.48,984.46,1087.8
AT1G02150,173.62,172.71,234.57,219.85,201.18,210.63,155.59,179.9
AT1G02160,355.61,262.41,247.38,407.29,573.8,323.11,386.33,307.57
AT1G02170,585.42,1047.09,820.21,484.33,569.85,916.02,582.06,768.62
AT1G02180,201.57,123.49,117.54,155.67,133.97,99.39,115.19,99.43
AT1G02205,46.63,67.88,90.01,35.53,50.84,40.59,42.69,42.62
AT1G02220,20.07,22.95,25.26,37.99,101,302.17,87.29,51.75
AT1G02230,20.4,23.47,21.92,18.04,23.91,19.58,20.58,19.31
AT1G02260,311.22,951.1,1189.06,116.69,365.84,214.44,316.74,363.65
AT1G02270,122.31,97.07,117.22,240.48,208.17,224.44,200.78,357.43
AT1G02280,219.74,141.79,77.65,243.43,122.59,95.68,128.55,115.8
AT1G02300,95.87,160.02,134.01,81.63,229.49,134,276.18,133.91
AT1G02305,1189.02,812.43,909.49,1739.72,843.33,1297.13,836.74,2087.72
AT1G02310,97.29,128.47,189.08,52.56,239.29,120.5,196.34,263.64
AT1G02330,499.6,578.97,584.96,873.22,956.73,977.56,1135.4,660.57
AT1G02340,76.27,73.66,88.46,53.74,74.74,72.84,85.73,192.54
AT1G02360,377.21,297.79,611.71,338.92,400.42,378.22,574.27,209.75
AT1G02370,141.61,208.27,359.76,153.92,95.56,89.42,129.92,115.22
AT1G02390,56.65,53.9,53.26,30.86,28,28.51,32.84,34.25
AT1G02400,112.5,132.44,198.58,76.39,119.3,85.41,119.92,191.39
AT1G02410,173.78,213.83,239.29,395.36,351.66,454.19,562.45,377.06
AT1G02420,59.67,71.32,59.74,63.81,53.32,51.88,46.01,55.43
AT1G02430,44.47,32.35,29.72,62.37,56.96,45.48,75.52,54.18
AT1G02450,26.99,27.64,24.34,26.1,27.46,25.66,25.12,25.99
AT1G02475,142.92,130.82,126.51,136.73,163.47,199.41,90.68,144.72
AT1G02500,4056.87,3432.97,4886.53,3717.26,2109.21,3000.98,2653.99,1798.17
AT1G02530,80.72,70.34,134.44,73.27,40.99,34.06,40.99,59.96
AT1G02560,1310.34,620.7,679.55,1406.7,987.37,1063.59,1058.96,1199.84
AT1G02570,38,40.22,46.65,41.12,37.25,42.46,39.84,38.87
AT1G02620,104.96,98.45,100.37,71.76,74.38,72.9,69.2,88.88
AT1G02640,2316.87,1399.09,1166.22,1550.58,447.83,552.28,528.38,255.67
AT1G02660,114.21,191.16,233.78,69,86.57,69.42,97.7,61.56
AT1G02680,25.36,40.2,29.96,52.87,66.19,66.03,80.39,61.35
AT1G02690,432.85,466.26,514.27,625.68,352.16,344.5,406.78,210.74
AT1G02700,26.34,23.18,24.96,26.47,27.4,32.53,26.8,25.32
AT1G02720,185.44,319.97,178.41,155.35,162.76,169.58,214.95,137.05
AT1G02730,586.27,426.67,1011.64,562.47,344.73,225.03,326.47,96.85
AT1G02740,179.54,132.35,156.92,286.87,286.78,269.11,267.54,326.97
AT1G02750,58.47,58.94,91.53,188.67,181.62,167.33,154.26,180.02
AT1G02780,5279.6,8251.9,10055.29,10572.73,14810.67,12990.79,17774.16,7438.06
AT1G02810,862.08,1469.01,1770.41,488.76,1171.29,553.43,1093.82,1976.51
AT1G02813,22.4,22.25,31.65,18.48,23.33,17.74,18.81,19.35
AT1G02816,106.48,119.09,111.48,172.15,261.22,228.48,297.01,437.14
AT1G02820,22.32,32.99,31.67,34.28,35.58,35.64,35.57,38.09
AT1G02840,1887.91,1306.25,1487.6,1722.39,1832.2,1530.65,2255.49,1519.1
AT1G02850,83.23,191.05,117.88,58.44,166.56,93.48,94.94,161.27
AT1G02860,1166.37,1069.68,597.27,1276.17,797.38,445.17,717.08,673.67
AT1G02870,68.76,97.43,75.47,234.07,246.87,220.58,324.54,104.65
AT1G02890,158.09,101.39,150.23,572.82,298.08,552.34,336.48,541.67
AT1G02900,371.2,437.21,802.09,1356.22,984.4,858.58,1206.14,1639.82
AT1G02910,133.37,105.59,203.83,156.64,151.56,119.88,159.37,184.18
AT1G02930,152.47,103.73,237.89,395.16,562.67,148.81,363.15,1453.58
AT1G02940,18.18,20.12,20.85,17.07,18.38,18.01,18.25,18.55
AT1G02950,88.63,98.15,48.25,239.49,88.1,50.75,83.14,41.68
AT1G02960,155.7,191.59,271.59,185.07,306.02,249.38,285.99,183.56
AT1G02970,156.4,82.89,82.12,114.39,81.3,63.13,87.21,58.23
AT1G03000,340.99,300.77,302.68,279.91,255.42,256.66,286.79,279.12
AT1G03010,50.26,27.22,26.33,43.76,30.71,22.46,31.83,22.85
AT1G03020,23.23,22.17,24.95,22.46,24.07,23.64,25.41,19.51
AT1G03030,227.65,152.32,297.6,255.66,253.08,231.19,252.12,398.35
AT1G03040,193.92,215.12,93.72,567.89,365.94,555.18,266.1,297.81
AT1G03055,43.48,34.97,57.15,23.73,25.67,26.07,24.5,28.63
AT1G03060,109.84,169.35,291.42,118.66,87.48,99.9,105.1,176.92
AT1G03070,640.74,338.05,246.16,210.24,116.99,154.28,118.09,105.92
AT1G03080,46.34,67.02,76.78,90.07,101.25,128.01,74.98,148.68
AT1G03090,669.53,686.24,1248.42,312.84,316.26,333.48,364.26,457.48
AT1G03100,61.59,47.34,32.3,47.43,48.17,42,39.35,36.72
AT1G03110,328.45,276.08,468.33,290.21,230.35,192.41,235.73,142.87
AT1G03130,38.44,74.13,47.59,42.82,71.42,121.19,55.11,45.93
AT1G03140,1474.53,938.13,1498.79,931.7,566.24,629.42,861.02,919.39
AT1G03150,123.25,74.09,65.19,160.78,146.91,153.72,147.66,128.18
AT1G03160,27.99,31.98,28.4,25.43,21.98,28.31,26.84,32.44
AT1G03180,79.38,117.01,116.47,57.07,84.92,52.45,95.18,60.14
AT1G03190,152.37,195.72,171.75,210.33,178.98,218.22,207.21,229.42
AT1G03210,636.37,1998.45,1239.23,658.06,1187.22,929.58,1600.18,2063.73
AT1G03220,3000.82,4306.56,5291.75,3748.36,5057.44,4764.5,5546.9,7010.32
AT1G03240,18.55,22.66,22.52,16.17,16.7,16.18,18.44,18.79
AT1G03250,156.39,144.98,160.36,189.18,161.61,209.77,148.15,180
AT1G03260,158.9,133.97,116.83,139.32,118.45,100.96,102.72,119.15
AT1G03270,45.21,47.51,36.99,50.09,42.79,41.64,37.23,30.69
AT1G03280,315.55,376.23,181.4,1022.44,819.83,932.87,788.23,1210.34
AT1G03290,204.07,207.69,169.35,166.57,197.32,195.35,157.19,295.51
AT1G03300,27.03,26.38,25.78,23.43,24.22,22.45,22.05,21.81
AT1G03310,257.51,79.5,123.44,131.96,82.46,77.58,100.49,85.46
AT1G03330,628.66,493.23,416.24,1132.5,1214.56,931.94,1435.99,797.19
AT1G03350,912.43,733.16,460.02,950.67,782.51,1012.67,701.3,1103.7
AT1G03360,191.47,165.86,188.03,278.83,316.14,290.14,357.28,144.19
AT1G03370,106.68,122.67,103.12,177.38,129.13,148.1,169.44,231.97
AT1G03380,129.1,87.05,172.45,113.04,106.5,148.62,134.62,171.41
AT1G03400,143.8,88.37,91,90.14,117.38,105.57,96.19,214.3
AT1G03410,416.7,182.16,227.56,121.79,123.08,595.68,127.47,131.33
AT1G03420,554.16,976.67,547.34,452.52,818.97,870.62,851.94,572.01
AT1G03430,137.89,171.23,126.45,216.23,171.72,190.58,187.43,190.1
AT1G03440,80.28,58.84,80.58,55.8,54.9,66.74,59.07,51.69
AT1G03457,84.47,83.55,156.67,111.36,131.77,113.62,177.47,149.99
AT1G03470,59.28,71.71,55.37,60.08,60.6,44.66,55.9,48.9
AT1G03475,148.53,166.4,158.2,213.78,148.13,175.58,132.54,256.91
AT1G03510,27.44,24.08,22.94,37.89,30.04,34.01,31.45,28.22
AT1G03520,252.76,355.86,361.8,131.44,161.88,168.25,303.81,122.48
AT1G03530,365.86,360.22,571.08,102.9,113.48,80.77,130.5,72.22
AT1G03550,226.64,1011.2,717.19,57.32,401.07,308.65,599.56,101.77
AT1G03560,54.85,72.56,50.88,101.05,90.94,104.07,106.28,105.21
AT1G03590,202.01,272.59,321.8,125.11,146.14,166.68,204.26,237.36
AT1G03600,39.72,55.9,29.76,52.25,74.52,60.19,40.11,56.4
AT1G03610,198.44,199.88,204.06,199.43,237.23,793.29,223.31,155.78
AT1G03620,43.19,55.67,39.35,38.42,76.71,48.38,51.04,31.82
AT1G03630,34.64,31.13,29.21,48.06,88.36,53.51,36.81,36.5
AT1G03660,108.41,171.91,258.86,52.09,148.4,149.89,283.23,62.17
AT1G03675,320.11,211.22,158.37,342.63,407.31,423.65,250.18,237.54
AT1G03687,78.23,65.66,130.04,82.99,65.51,77.02,105.79,51.89
AT1G03700,296.17,194.82,1035.09,147.69,113.05,97.55,152.65,67.21
AT1G03730,165.18,190.76,142.06,310.07,257.09,213.4,226.96,292.73
AT1G03740,65.01,55.54,79.32,126.18,93.92,103.67,106.27,324.35
AT1G03750,62.7,51.39,52.51,44.42,39.44,52.87,68.19,46.38
AT1G03760,154.29,97.33,89.11,187.12,140.68,132.16,150.41,156.21
AT1G03770,23.64,24.71,21.02,40.44,32.32,31.18,33.13,27.26
AT1G03780,202.62,186.97,140.46,71.67,89.39,56.52,75.52,40.73
AT1G03790,34.62,43.29,31.25,20.7,23.47,23.57,21.41,27.07
AT1G03820,116.77,134.77,58.46,420.97,106.06,52.56,63.04,55.31
AT1G03830,95.12,97.72,77.98,85.63,83.01,70.17,61.25,61.22
AT1G03840,965.64,654.06,937.71,399.94,320.41,292.38,648.94,268.52
AT1G03850,566.45,489.42,780.95,1002.66,1955.32,1239.27,2128.01,2978
AT1G03860,489.95,635.5,831.48,559.73,477.95,736.45,893.23,518.98
AT1G03870,1828.48,2708.24,2014.31,1266.9,1916.31,1909.25,3101.02,7442.69
AT1G03900,922.23,923,749.06,1173.53,1051.18,1138.72,1184.16,1328.78
AT1G03905,222.54,270.3,191.58,249.9,338.71,223.53,533.74,264.36
AT1G03910,665.7,624.76,732.87,688.32,838.6,844.23,637.44,567.57
AT1G03920,667.87,2635.91,2187.2,215.79,1362.05,743.56,1483.75,208.2
AT1G03930,21.11,19.97,23.3,28.45,21.99,28.73,20.97,30.28
AT1G03950,63.28,92.93,83.75,144.79,185.89,211.75,146.89,272.44
AT1G03960,34.81,50.2,39.55,32.32,35.05,34.98,38.55,35.86
AT1G03970,141.24,127.7,87.13,214.88,250.93,213.03,134.14,208.44
AT1G03980,42.99,32.57,49.55,30.77,28.1,30.73,34.35,33.99
AT1G03990,61.37,65.41,51.16,52.47,48.96,49.47,62.45,52.28
AT1G04000,194.12,197.64,149.33,138.35,188.74,178.29,213.26,130.61
AT1G04010,48.86,42.77,57.08,57.06,41.21,53.76,47.4,48.35
AT1G04020,395.17,282.83,291.68,194.58,250.24,152.9,278.57,111.95
AT1G04030,140.84,76.78,98.12,107.11,62.13,65.51,73.53,54.22
AT1G04040,1753.68,2029.78,2051.6,1251.09,960.89,1171.21,1902.32,1205.39
AT1G04050,46.37,55.49,45.62,54.22,63.2,49.02,77.34,42.03
AT1G04070,58.36,58.6,50.75,83.53,76.58,76.11,70.14,61.73
AT1G04080,734.96,1279.38,1432.82,422.46,793.35,637.2,959.51,387.71
AT1G04100,185.83,161.76,127.88,155.35,127.27,160.32,117.77,132.42
AT1G04110,25.86,26.62,22.02,21.88,22.72,23.02,21.73,25.76
AT1G04120,365.22,492.35,746.37,350.59,360.03,395.09,329.71,293.99
AT1G04130,40.14,53.16,44.16,66.24,67.17,68.39,57.06,59.5
AT1G04140,311.37,361.93,408.92,501.5,257.72,336.99,266.31,485.95
AT1G04150,46.18,43.19,44.54,27.43,35.68,32.77,34.22,33.86
AT1G04160,72.77,104.74,224.7,36.79,59.01,72.18,59.2,38.65
AT1G04170,709.4,933.62,760.7,1281.52,832.45,1253.74,916.13,1027.59
AT1G04180,52.82,48.9,36.9,67.22,70.02,136.66,38.98,28.75
AT1G04190,1207.2,799.8,769.37,694.17,498.93,628.06,606.28,390.65
AT1G04200,179.38,198.17,379.89,222.5,270.05,314.53,327.28,215.9
AT1G04220,1476.17,4935.72,4609.83,274.34,1717.47,1688.48,2113.03,316.42
AT1G04230,154.48,141.85,265.1,202.94,323.62,337.6,462.68,181.14
AT1G04240,318.4,137.09,42.78,1075.84,668.09,669.39,469.19,459.84
AT1G04250,1378.9,1503.39,431.9,5524.21,2684.14,3180,1914.56,4582.12
AT1G04260,347.02,208.28,197.43,275.43,204.38,222.63,205.18,269.29
AT1G04270,3194.57,3804.07,5020.27,6394.12,4755.27,4627.76,6841.59,3745.25
AT1G04290,143.35,153.56,155.53,166,172.65,130.06,181.01,227.47
AT1G04300,265.52,339.42,558.02,150.64,287.15,251.39,277.85,199.65
AT1G04310,39.2,46.18,27.52,34.11,31.69,32.75,29.91,25.85
AT1G04330,31.13,23.59,19.85,89.69,313.17,736.82,39.84,45.03
AT1G04340,173.53,230.1,168.73,417.4,337.09,367.43,498.26,317.23
AT1G04350,56.31,69.06,119.36,39.57,47.4,43.13,72.76,55.35
AT1G04360,68.71,128.8,191.02,75.34,77.37,80.68,145.32,51.28
AT1G04400,584.43,631,730.92,1020.03,897.71,1294.94,1435.73,1472.17
AT1G04410,9026.33,6470.09,5915.22,14600.19,11533.91,14724.46,12173.65,15222.84
AT1G04420,189.91,107.34,58.37,128.98,109.27,70.74,72.11,61.38
AT1G04430,3166.9,2611.36,2659.21,3011.68,1859.09,1802.08,1561.7,2519.88
AT1G04440,727.18,1040.31,1467.05,538.57,1016,1137.99,1047.18,836.68
AT1G04480,436.44,986.71,611.75,3156.27,4237.85,3009.93,5491.9,1842.01
AT1G04490,26.77,24.88,27.06,21.84,26.29,23.39,24.62,30.82
AT1G04510,758.23,575.55,937.12,648.01,527.37,538.14,477.08,420.09
AT1G04520,107.72,120.39,107.5,137.24,123.95,93.02,141.63,168.53
AT1G04530,131.2,66.69,91.57,375.82,178.16,233.06,212.97,561.88
AT1G04550,291.64,172.36,38.76,770.42,250.9,119.19,172.94,210.58
AT1G04560,71.98,59.04,41.22,26.62,28.01,31.06,29.59,27.57
AT1G04590,328.86,220.04,217.49,800.76,359.58,475.68,377.62,313.5
AT1G04600,18.36,18.17,19.77,15.43,15.54,15.54,16.83,15.32
AT1G04610,221.2,133.89,137.83,165.86,105.91,109.37,215.56,127.26
AT1G04620,49.86,44.62,41.26,40.01,32.43,37.06,38.83,39.59
AT1G04640,53.52,52.71,46.96,51.76,65.98,61.55,57.08,69.92
AT1G04650,28.82,72,29.21,21.44,21.8,21.09,19.85,21.68
AT1G04660,98.24,92.55,83.21,109.51,101.33,122.35,113.71,101.87
AT1G04680,761.17,636.43,1337.07,971.89,683.03,720.34,379.01,513.4
AT1G04690,1070.57,787.69,956.43,1990.76,1264.34,1158.59,1555.85,2093.97
AT1G04700,25.72,53.06,40.19,32.5,33.32,42.83,45.75,29.45
AT1G04710,204.28,168.53,154.2,281.38,247.46,318.52,162.77,175.15
AT1G04730,144.82,79.19,178.73,78.99,112.19,94.53,130.8,62.8
AT1G04750,3653.74,2620.67,2178.19,4492.76,2837.81,2976.43,2611.52,3299.84
AT1G04760,111.45,90.55,47.22,69.13,47.09,35.56,41.37,27.71
AT1G04770,229.48,405.17,203.39,788.86,730.07,604.74,620.63,993.12
AT1G04780,286.45,254.93,295.76,318.35,256.34,218.31,330.91,438.09
AT1G04790,190.84,156.99,221.01,152.7,109.24,125.93,90.8,125.85
AT1G04800,90.19,104.81,81.95,75.59,73.58,80.16,72.72,89.03
AT1G04810,998.48,1244.51,1855.14,488.9,514.54,639.84,513.12,519.78
AT1G04820,4475.92,3473.3,4125.95,3657.49,1599.89,2029.58,1295.71,2499.55
AT1G04830,461.18,356.05,488.62,254.79,275.53,304.24,296.28,323.54
AT1G04850,1056.77,1141.88,632.32,841.1,787.97,766.98,601.61,1193.58
AT1G04860,445.92,430.28,429.32,370.62,435.09,405.09,291.5,421.64
AT1G04870,440.25,491.98,509.28,775.49,610.69,647.2,837.66,408.03
AT1G04900,71.55,82.1,98.16,82.43,135.81,191.85,408.35,93.96
AT1G04910,294.43,611.67,405.89,375.86,378.87,398.41,372.12,422.6
AT1G04930,142.71,152.11,118.09,92.65,108.22,114.92,107.74,92.05
AT1G04940,74.01,81.04,93.59,141.56,116.32,123.7,151.35,108.5
AT1G04950,298.56,273.83,285.78,135.08,108.79,119.04,121.4,107.4
AT1G04960,357.57,356.73,313.61,474.19,385.88,474.28,347.14,692.99
AT1G04970,550.58,611.24,1029.3,450.41,597.13,588.03,737.65,563.97
AT1G04980,205.08,197.38,237.65,329.69,179.25,169.03,116.69,247.01
AT1G04985,99.79,170.62,119.65,242.48,291.16,283.56,233.84,250.25
AT1G04990,38.81,33.21,34.71,51.83,49.64,55.08,54.73,68.47
AT1G05000,135.94,114.53,212.93,163.52,188.13,154.39,168.69,422.49
AT1G05010,300.61,102.67,124.19,413.06,505.26,189.58,272.04,975.94
AT1G05020,63.09,83.34,88.15,55.98,65.33,75.81,78.58,60.69
AT1G05030,236.47,323.49,450.31,190.96,322.69,248.45,373.71,267.9
AT1G05050,424.9,315.91,335.59,486.73,346.91,403.57,478.66,353.57
AT1G05060,78.47,57.18,79.56,152.26,130.49,172.78,116.8,188.12
AT1G05070,260.18,321.38,116.65,189.79,191.84,172.83,136.79,129.51
AT1G05090,182.25,184.97,233.52,176.11,162.86,222.26,238.09,157.38
AT1G05120,94.27,107.49,101.92,201.03,112.5,141.64,150.41,176.27
AT1G05130,24.15,23.25,26.81,21.6,23.24,21.36,20.35,22.47
AT1G05140,343.53,376.02,210.5,298.97,364.87,394.36,337.11,405.33
AT1G05150,455.42,249.67,237.76,567.29,268.74,419.56,308.99,379.37
AT1G05160,70.81,62.28,61.8,52.51,76.63,59.64,77.14,40
AT1G05170,66.61,82.26,79.13,84.19,83.35,77.46,81.44,152.6
AT1G05180,1918.79,1118.47,1107.29,1455.77,1157.13,1205.6,1057.71,1256.41
AT1G05190,51.66,36.33,30.64,70.22,64.43,53.51,53.2,56.02
AT1G05200,99.56,182.39,233.69,52.45,105.82,83.51,162.18,69.93
AT1G05205,275.82,460.1,256.34,646.04,1160.51,840.46,1079.25,571.59
AT1G05210,132.94,149.53,160.76,177.28,160.07,142.24,260.39,262.2
AT1G05230,71.42,76.92,84.54,37.94,44.18,41.04,34.83,46.95
AT1G05250,1115.54,2314.25,1541.92,667.56,1026.09,1648.93,2743.37,420.72
AT1G05260,622.26,1732.38,3366.53,755.73,503.6,639.19,658.09,230.44
AT1G05270,55.61,51.67,50.5,56.66,45.19,56.4,42.88,63.36
AT1G05280,159.28,93.18,84.97,52.59,37.27,32.81,52.61,30.22
AT1G05300,140.6,146.5,108.44,73.7,77.31,66.73,154.27,389.39
AT1G05310,391.61,325.72,216.87,134.66,75.76,85.31,134.92,56.34
AT1G05320,509.5,727.62,813.71,430.32,727.99,408.84,719.34,203.52
AT1G05330,23.48,25.48,23.59,21.46,22.82,23.36,21.39,24.36
AT1G05340,57.15,123.04,39.17,119.07,273.34,681.85,274.13,123.8
AT1G05350,386.62,413.77,261.95,561.69,415.33,473.81,455.2,605.64
AT1G05360,419.18,671.8,665.17,325.12,528.49,414.72,579.49,294.71
AT1G05380,218.28,139.39,322.8,344.19,242.41,362.07,289.15,295.21
AT1G05385,42.96,53.65,46.41,48.29,52.87,39.59,46.63,50.57
AT1G05400,74.6,70.72,56.51,66.93,62.56,66.58,69.78,52.82
AT1G05410,114.7,103.44,233.49,217.86,159.23,276.56,338.51,183.96
AT1G05430,157.64,227.69,213.91,245.33,194.03,288.44,228.66,237.57
AT1G05440,45.85,32.3,30.57,47.13,29.88,28.16,41.8,30.94
AT1G05450,64.97,36.55,48.85,30.59,35.15,31.53,33.22,30.14
AT1G05460,104,90.58,63.76,133.57,142.82,123.57,242.78,83.55
AT1G05470,118.29,69.28,80.67,187.91,62.27,57.76,81.26,39.12
AT1G05480,34.73,28.65,28.29,27.3,22.74,40.86,20.04,19.6
AT1G05500,959.79,581.98,693.94,542.31,485.89,458.63,389.66,509.2
AT1G05520,942.13,580.49,1087.09,352.8,319.59,355.97,380.01,454.13
AT1G05530,27.59,25.49,19.46,29.57,27.23,28.57,35.28,23.39
AT1G05560,42.5,37.72,35.29,48.77,111.04,63.81,55.66,181.28
AT1G05570,1939.9,2565.36,5083.66,1037.54,1422.64,1693.97,2365.55,4135.8
AT1G05575,36.83,21.5,35.95,69.44,118.6,58.78,99.23,409.96
AT1G05590,147.19,141.4,126.5,178.85,170.91,257.49,257.42,166.08
AT1G05600,132.49,84.76,98.89,272.25,239.89,259.6,319.25,282.31
AT1G05610,23.12,26.25,22.09,28.74,29.68,29.98,26.5,28.77
AT1G05620,459.29,536.77,577.58,862.59,905.53,704.14,1537.86,2052.22
AT1G05630,54.62,67.83,81.72,28.17,41.52,40.73,45.52,25.89
AT1G05650,97,140.33,137.17,102.06,186.36,186.94,230.56,39.06
AT1G05680,30.17,31.86,32.92,35.97,42.58,27.49,33.25,93.39
AT1G05690,55.99,57.24,56,28.14,29.73,26.18,25.82,31.7
