X,MCO,EN,V,MZ,QC,X35S,MUSuniq
Os06g0183700,8.234337433,3.741028681,4.910315589,9.375763699,8.008195125,6.545618891,LOC_Os06g08470
Os06g0183100,3.845625809,3.390108209,3.732640599,2.871144727,4.679798088,6.225271698,LOC_Os06g08440
Os06g0182500,11.69509297,13.14730928,12.21200319,8.147037498,9.45873911,8.161866748,LOC_Os06g08400
Os06g0182400,51.80447839,27.30672554,39.89020421,23.64127716,10.33590857,13.39458632,LOC_Os06g08390
Os06g0182100,5.198092657,7.769199247,3.766281394,2.276405031,7.459692411,1.74648782,LOC_Os06g08360
Os06g0181800,1.546413574,2.406301439,1.565531701,2.289388043,1.165326534,3.777351716,LOC_Os06g08350
Os06g0181566,137.8124329,159.5998853,157.8095581,92.68856212,99.21803195,41.27830808,LOC_Os06g08320
Os06g0181400,5.542369885,5.77023978,7.247353078,1.084704372,1.885528739,0.861537212,LOC_Os06g08300
Os06g0181300,1.69571444,2.703267269,1.859066257,2.01910001,1.750594792,1.248597694,LOC_Os06g08290
Os06g0180300,0,2.925658699,0,1.276112078,0,0,LOC_Os06g08220
Os06g0180100,1.73543542,4.728995756,2.048459006,2.678513979,0,0.446647356,LOC_Os06g08190
Os06g0180000,8.012274036,8.358115911,8.987338776,6.163509873,10.17945537,3.751204145,LOC_Os06g08180
Os06g0179900,2.881398321,1.649371395,1.269056417,2.323525743,3.137282217,2.67318685,LOC_Os06g08170
Os06g0179800,1.915444834,1.311171334,2.869665672,0.312752918,0.681316212,0.807645947,LOC_Os06g08154
Os06g0179700,4.877152633,6.050645481,6.475095045,6.457189411,7.733199445,5.607907106,LOC_Os06g08140
Os06g0179200,2.92720684,3.831103131,3.552342439,5.009713525,7.174845037,3.337953215,LOC_Os06g08110
Os06g0179000,7.614426073,7.305539668,10.59435476,5.439141889,2.393706032,3.946027998,LOC_Os06g08090
Os06g0178900,37.48515152,33.1678107,47.35868068,130.6690607,379.2936892,32.48765005,LOC_Os06g08080
Os06g0178700,0,0.295646681,0,0.524989778,0.095638046,4.27838067,LOC_Os06g08060
Os06g0178650,1.925914659,0.892024339,3.173806397,0.597875889,0.42960626,0.591841079,LOC_Os06g08041
Os06g0178500,0.830825836,2.759117439,0.605368757,1.384022316,6.124680805,13.46529331,LOC_Os06g08032
Os06g0178400,50.92141529,58.03479507,53.47616811,20.49212469,25.41464196,10.10155798,LOC_Os06g08023
Os06g0177600,10.34183185,7.231836619,12.79346028,17.25194001,12.48640777,8.49245935,LOC_Os06g08014
Os06g0177300,18.68329184,19.07720505,21.25481265,23.98710571,41.35567883,24.44963916,LOC_Os06g08005
Os06g0177100,1.47163735,3.190890933,1.747121889,7.252759914,10.86061132,8.359824162,LOC_Os06g07978
Os06g0177000,99.17581785,100.3232152,99.23043421,120.1839496,110.7131067,78.18853893,LOC_Os06g07969
Os06g0176850,1.925914659,0.892024339,3.173806397,0.597875889,0.42960626,0.591841079,LOC_Os06g07941
Os06g0176700,0.830825836,2.759117439,0.605368757,1.384022316,6.124680805,13.46529331,LOC_Os06g07932
Os06g0176600,50.92141529,58.03479507,53.47616811,20.49212469,25.41464196,10.10155798,LOC_Os06g07923
Os06g0176300,10.34183185,7.231836619,12.79346028,17.25194001,12.48640777,8.49245935,LOC_Os06g07914
Os06g0176200,18.68329184,19.07720505,21.25481265,23.98710571,41.35567883,24.44963916,LOC_Os06g07905
Os06g0176000,1.47163735,3.190890933,1.747121889,7.252759914,10.86061132,8.359824162,LOC_Os06g07878
Os06g0175900,99.17581785,100.3232152,99.23043421,120.1839496,110.7131067,78.18853893,LOC_Os06g07869
Os06g0175800,3.175615185,4.396689489,4.956584777,10.7153286,6.21163644,8.368730859,LOC_Os06g07860
Os06g0175500,1026268.785,931020.555,829338.2021,53510.31506,201551.4608,5749.803595,LOC_Os06g07830
Os06g0175400,4.164316342,4.224826468,6.728840619,4.112971327,4.076185907,4.214312721,LOC_Os06g07820
Os06g0174400,48.65580143,48.80463997,54.14276349,40.15771713,68.134954,44.78045054,LOC_Os06g07780
Os06g0174300,1.524598297,1.926945251,0,3.445829284,2.808055041,7.038785672,LOC_Os06g07760
Os06g0173100,12.76486901,12.70602498,8.863774796,39.10521185,58.90318951,33.33305403,LOC_Os06g07630
Os06g0172800,32.34925162,33.12898015,32.18457278,25.54953965,15.14827059,37.85103989,LOC_Os06g07600
Os06g0172600,87.61973668,76.40988924,94.08924777,98.48366846,99.08751709,55.76939209,LOC_Os06g07580
Os06g0172200,12.52984583,12.62249505,16.5363794,24.28434064,12.90880691,22.96603254,LOC_Os06g07560
Os06g0171900,32.80660633,33.55160944,25.1304768,34.126661,20.6136757,51.64903177,LOC_Os06g07540
Os06g0171800,11.71037869,10.32015938,11.83672658,2.36833579,3.942636478,2.146476851,LOC_Os06g07490
Os06g0171700,2.403626842,5.64363024,3.836976231,2.556301827,2.203796969,1.664805908,LOC_Os06g07480
Os06g0171600,1.943116113,4.234224853,2.645830088,2.62591181,3.138865584,2.195241519,LOC_Os06g07474
Os06g0170500,14.0146728,11.89845192,16.66388586,24.50067553,25.53760966,26.2949683,LOC_Os06g07350
Os06g0169900,0,2.261759529,0,3.537827817,48.00541487,0.83350845,LOC_Os06g07300
Os06g0169001,5.046804379,7.633885295,5.083860026,21.47687654,1.916663663,2.45290193,LOC_Os06g07250
Os06g0168901,4.285539916,4.023944272,3.391231202,1.183637307,1.08595163,0.761901035,LOC_Os06g07240
Os06g0168800,18.5972189,24.30744891,19.45597954,20.85696317,15.07884718,24.00398311,LOC_Os06g07230
Os06g0168700,2.140005277,0.913705181,1.213006547,3.039592485,0.72057419,2.326185453,LOC_Os06g07220
Os06g0168600,8.137327599,8.167773826,11.07531064,18.74190076,16.08513007,8.164677434,LOC_Os06g07210
Os06g0168500,9.041017794,12.07041052,8.061700198,22.257803,9.929064488,66.24266746,LOC_Os06g07200
Os06g0168400,1.599352249,2.381441367,1.348087904,1.315881424,1.901516681,1.051023495,LOC_Os06g07190
Os06g0168000,6.842333476,6.249960658,10.55705552,13.6743965,11.35736389,7.297489958,LOC_Os06g07160
Os06g0167600,18.6428909,14.57318581,16.8311388,79.07428753,86.11316821,53.84542802,LOC_Os06g07140
Os06g0167500,9.190175128,9.993282255,7.261400128,5.561686632,4.35288646,9.78501879,LOC_Os06g07130
Os06g0167400,8.78769932,11.08705025,9.069838256,8.733346327,5.572179462,15.22700957,LOC_Os06g07120
Os06g0167200,6.745227054,4.62491959,8.434509624,4.848410174,3.129316124,1.560335835,LOC_Os06g07100
Os06g0167100,18.60309559,16.27687143,21.37811738,17.56355897,33.68814237,17.21323073,LOC_Os06g07090
Os06g0167000,14.55119818,20.5076384,15.84722622,27.35286967,35.89937403,28.14463055,LOC_Os06g07080
Os06g0166900,10.3853138,12.44242842,10.44686214,11.4346168,12.83895655,14.94584175,LOC_Os06g07070
Os06g0166500,20.58973862,17.61697171,32.50221135,13.96223664,21.47577756,5.564509324,LOC_Os06g07040
Os06g0166400,18.24536437,12.37439366,10.60302298,13.47687356,9.27992735,18.23048156,LOC_Os06g07030
Os06g0166200,1.869404178,1.517537106,1.192859814,2.005667561,2.205471636,4.212677926,LOC_Os06g07020
Os06g0166100,6.024970081,3.24370831,5.113420988,3.155141193,3.601022639,3.313603445,LOC_Os06g07010
Os06g0166000,46.24832032,55.06642877,36.38715129,9.189148823,14.75048866,9.073634327,LOC_Os06g07000
Os06g0165800,18.82232893,23.3796567,23.65173363,27.32795741,67.99374513,30.17131066,LOC_Os06g06980
Os06g0165600,0,2.145916504,0.76627251,0.221237982,0.232441825,0.06711485,LOC_Os06g06970
Os06g0164500,4.666805218,5.272939729,4.380630548,6.531090806,2.326799769,4.334900747,LOC_Os06g06910
Os06g0164400,3.911722352,4.947248342,3.368492972,1.30530912,1.816551183,0.973318999,LOC_Os06g06900
Os06g0164100,5.073236231,5.342195044,8.341391137,16.70079597,12.1163852,16.85812995,LOC_Os06g06880
Os06g0164000,3.555523594,4.058280246,2.325674635,3.177889165,3.436858357,2.8679241,LOC_Os06g06870
