SlGeneID,Sl_COR,Sl_EN,Sl_EP,Sl_MCO,Sl_MZ,Sl_PH,Sl_V,Sl_QC,Sl_35S
Solyc11g011930.2.1,23.87617422,18.26237208,11.87520012,9.835150972,27.08009217,15.05469859,22.01255216,4.29594787,29.34553954
Solyc11g011940.2.1,0,0.096790872,0,0,0,0,0,0,0.019216338
Solyc11g011960.2.1,277.6643835,99.81448909,245.5089474,158.9324717,315.6393882,107.9350583,270.8848191,152.9892048,391.1668383
Solyc11g011970.2.1,0.275839125,0.763173881,0.297843972,0,0.198629794,2.202104735,1.263694288,1.445539931,2.955468436
Solyc11g011980.3.1,1.475823862,0.705012108,10.32017032,0.324879517,0.94196676,1.737427139,0.340758978,5.757341002,1.85490942
Solyc11g011990.2.1,9.043235271,3.569133371,3.913405769,0.411869029,5.174679983,10.85060063,0.353279645,0.935029168,6.13771624
Solyc11g012000.2.1,6.38169058,19.87931394,12.23559643,0.270311038,7.510309185,3.025635585,14.33991555,0.593236449,11.57488499
Solyc11g012010.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012020.2.1,6.845605977,15.01392614,8.089914785,7.674886096,31.07928198,6.561163936,8.765877905,0.815001204,10.20116554
Solyc11g012030.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012040.2.1,0.678647585,0,0,0,0.026683224,0,0,0,2.677329276
Solyc11g012050.1.1,0.153996675,0,0,1.813361309,0.413398152,0,0,0,0.484612024
Solyc11g012060.1.1,24.59215861,7.786923023,1.813833776,19.09323298,12.52788276,2.658692358,1.328891808,2.796043697,18.57224431
Solyc11g012070.2.1,22.98924921,5.718471229,20.09097027,4.85309463,19.65778581,20.1839982,4.26767521,0.988138943,26.3745612
Solyc11g012080.2.1,39.66545256,9.652160416,36.311665,38.63551755,80.22834608,28.47557728,8.411045787,157.0040357,60.95561177
Solyc11g012090.2.1,0.754038368,2.056729074,1.38491596,0,9.138614707,0.880731215,20.48943476,0.487859159,6.428525659
Solyc11g012100.2.1,1.345353735,0.100277038,4.359397007,0.494031115,12.40805539,7.69057189,3.327313221,0,7.093929701
Solyc11g012110.2.1,107.5298358,94.72257312,208.1415237,186.4441723,330.498572,146.775814,252.9650131,314.4702335,128.9200872
Solyc11g012120.2.1,0,0,0,0,0,0,0,0,0.107989894
Solyc11g012130.2.1,0.113587911,7.430460141,28.829662,6.831600528,29.32031353,17.3113192,2.152782763,0.447685006,12.10661949
Solyc11g012140.2.1,102.3919992,69.39548862,140.3965341,91.81771582,232.8702092,122.1267208,125.4454459,66.3445779,107.0033139
Solyc11g012150.2.1,52.44147269,25.04079404,36.22350867,21.78693242,44.0099063,27.8543086,41.8004489,75.64109782,41.64959455
Solyc11g012160.2.1,35.46905502,6.549546113,19.76199608,31.8033499,23.4889546,38.52279191,26.00350239,5.201095436,19.87667881
Solyc11g012170.1.1,0,0,0,0,0,0,0,10.51271747,0.60155813
Solyc11g012180.2.1,0.805228075,5.457542886,4.687553979,0.448656437,9.224293589,0.089497776,4.186364789,0.813247073,2.949656525
Solyc11g012190.2.1,2.711993235,0.164428491,1.021373981,0,1.782265742,1.090784467,0,1.312356824,2.555797854
Solyc11g012195.1.1,0.108031203,2.488451173,7.625082272,0.429282636,8.906959306,0.188362238,0,0,0.7014153
Solyc11g012200.2.1,3.66154738,0.107392926,0,0,0,0,0,0,1.00587226
Solyc11g012210.1.1,2.751858611,0,1.48047792,0,0.687903851,0,0,0,3.800105984
Solyc11g012230.2.1,0,0,0,0,0.099494815,0,0,0,0.201432375
Solyc11g012220.1.1,0,0,0,0,0,0,0,0,0.511718426
Solyc11g012240.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012245.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012250.1.1,0,0,0,0,0,0,0,0,0.355074304
Solyc11g012260.2.1,3.464793898,7.409000204,22.07340712,1.423751949,6.340996877,0,38.10913469,0,13.43101031
Solyc11g012270.2.1,14.48507697,31.11592395,58.93143371,19.53537768,21.39588689,15.2044357,16.04594298,8.870760854,20.13447796
Solyc11g012280.2.1,34.72106507,4.697442976,17.18787187,3.480144669,17.44555763,6.725829212,2.915961404,15.93714854,16.94754438
Solyc11g012290.2.1,2.383002058,3.339033536,6.583329974,3.326031007,4.951913909,17.39306181,8.766148894,1.422438989,12.37638375
Solyc11g012300.1.1,0,0,0,0,0,5.38507158,0,0,0
Solyc11g012310.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012320.2.1,1782.634199,704.9210926,363.8779146,727.6724958,1845.514388,1310.043555,3077.180048,1942.342722,1541.387313
Solyc11g012330.2.1,0,0,0,0,0,0,0,0,0.076572009
Solyc11g012350.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012360.2.1,172.0312663,19.77919792,8.575297552,24.73303461,16.49002738,8.147220295,4.990083582,8.147244843,81.55644817
Solyc11g012370.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012375.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012380.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012400.2.1,28.2234646,24.38057754,28.2339291,7.762366557,23.46847645,20.86020358,11.46775074,29.57827807,22.44841224
Solyc11g012410.2.1,70.78968899,109.1621603,57.13122643,87.32244873,51.05308836,86.56803705,51.67099254,110.8439469,37.37526847
Solyc11g012420.2.1,1.166243551,13.75242387,2.773610112,0.894480268,24.01820504,1.677060392,1.362081527,1.029514742,13.95036162
Solyc11g012440.1.1,7.39085831,2.623518667,9.474855042,1.183780915,13.17570529,1.711269473,0.918110756,2.826948206,13.00081585
Solyc11g012450.2.1,2.526842478,6.966975719,9.988975549,5.042550699,4.864213242,1.810955561,0.639966129,15.09475064,11.45558546
Solyc11g012455.1.1,4.102412026,2.958889618,7.631964452,0,8.115276159,0,29.32653066,0,4.113898977
Solyc11g012460.2.1,10.27562129,28.90117946,11.52986649,17.86348533,16.73133668,47.13508136,7.950084069,9.101501084,5.179439094
Solyc11g012470.2.1,45.02848003,55.61161404,46.84169948,62.79044191,50.18411672,49.27167668,66.4503538,69.66183716,41.59722014
Solyc11g012475.1.1,0.046508576,1.103017943,2.363752097,0.279719431,2.538640755,0,0,0,1.063270522
Solyc11g012480.2.1,0.288532231,0,0.07878913,0,3.745942579,0.571141494,0,0,5.552471696
Solyc11g012490.2.1,0,0,0.092120271,0,0.030808053,0,0,0,0
Solyc11g012500.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012510.2.1,13.53537424,0.674814759,1.163235976,1.105467266,3.660109784,0.267060083,0.61100639,1.980075039,6.861289061
Solyc11g012520.1.1,0,0.753625419,0,0,8.314139574,0.770716791,0,0,5.997374448
Solyc11g012530.2.1,2.006893128,1.350736998,0.352173853,1.990997334,0,16.60623972,2.068948347,0,0.601452863
Solyc11g012540.2.1,2.472437568,30.0829886,8.148037098,11.48617023,0.529043305,4.606440354,0,0.440140137,0.899367168
Solyc11g012550.2.1,38.20657855,158.550779,47.85192105,152.7653674,10.69218974,72.43392712,35.66079461,129.1102127,5.327592261
Solyc11g012560.2.1,0.071863421,0,0,0,0.879325045,4.782528934,4.896825417,0,1.415556682
Solyc11g012563.1.1,0.159003317,5.569338834,0.490603838,0.327877234,0.443052308,2.453022136,0,1.224954996,0.591044923
Solyc11g012567.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012570.2.1,0.664103519,4.598611071,6.03814767,1.591331104,7.158111882,0,0.48643731,0,1.490625626
Solyc11g012580.2.1,0,0,0.339890453,0,0.614113663,20.81491402,0,0,4.756816781
Solyc11g012590.2.1,8.033100148,0.490431802,2.209389982,1.357428287,3.942013708,2.526765596,45.37885611,0.327882153,12.76180399
Solyc11g012600.2.1,0,0.165452061,0,0,0,0,0,0,0
Solyc11g012610.2.1,6.609309294,1.78352908,6.240056247,1.307767227,14.34165647,6.764188067,7.221678357,45.64098083,10.44424578
Solyc11g012620.2.1,0,0.641787001,0.849680618,0,0.128443325,0.069648034,0,0.248699059,0.380030898
Solyc11g012625.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012640.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012650.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012660.2.1,26.04181789,32.13226077,6.715800745,18.8636555,12.09423354,7.256948541,58.61533258,9.772989566,23.19458948
Solyc11g012670.1.1,0.927572921,0.899957805,3.527730283,1.339288141,16.49235708,1.724333521,6.304623369,1.516701703,6.577560324
Solyc11g012680.2.1,42.90801295,3.31975284,2.53060668,2.152755177,4.249990721,2.985051196,4.351508734,2.66529957,11.42832902
Solyc11g012690.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012700.2.1,25.64971866,12.30128167,3.063734703,1.55172341,5.676493419,2.260405871,3.174726197,1.307612947,11.32238518
Solyc11g012705.1.1,0.456436104,0.550309624,2.030148636,0.811626545,1.384167153,0,0,3.085292126,4.031880635
Solyc11g012710.2.1,0.594649638,0.068218963,1.854323808,0,0.989433929,0.949667579,0,0,2.839814136
Solyc11g012720.2.1,1.871524805,0.337066086,2.774983327,8.021157679,4.429899329,0.325663622,0.27620992,0,3.050130225
Solyc11g012730.2.1,46.44043838,17.27129682,51.87821417,7.165305743,38.58209213,14.72680765,2.361379653,47.06588048,43.67868626
Solyc11g012740.2.1,17.27695101,8.628991942,11.20529963,18.74574425,15.1436111,21.24200325,30.70393064,8.081274111,15.88208375
Solyc11g012745.1.1,0,0,0.913008682,0,4.06548053,0,0,11.9792731,2.31E-08
Solyc11g012760.2.1,12.1250596,13.88604655,15.33448761,16.82397407,25.11780253,8.398282383,14.40311637,2.192778829,6.763237688
Solyc11g012750.2.1,0,0,0,0,0,0,0,0,0
Solyc11g012770.2.1,44.61263656,25.99633829,37.63989128,39.23784765,50.92729383,47.67571053,65.24292256,44.51209918,42.42816093
Solyc11g012790.2.1,13.39775075,3.940532534,6.980626189,4.381327309,6.413916985,4.973762043,1.395654855,4.423865899,8.769957088
Solyc11g012780.2.1,3.098199326,0,0.123973954,0,5.140315757,0,0.356867075,0,3.104184686
Solyc11g012785.1.1,0,0,0,0,0,1.771513047,6.195927386,0,0
Solyc11g012810.2.1,7.923473722,5.153163898,8.952051532,9.650243582,10.5040867,1.502157281,2.950616735,3.862917921,8.27666738
Solyc11g012813.1.1,0,0,0,0,0,0,0,0,0
Solyc11g012820.2.1,14.20478498,6.561489202,7.412027941,2.301308635,17.8277021,4.324364124,0.56414696,1.591434583,10.40935918
Solyc11g012830.2.1,16.01901001,1.926889021,6.6361296,16.80998482,7.079900947,23.87905981,0.866707928,1.138738671,11.532937
Solyc11g012840.2.1,8.421225902,7.417649109,15.73951494,12.1488247,13.80538969,7.272068541,1.584340993,2.027849,22.1172492
Solyc11g012850.2.1,7.291890037,0.670538778,1.733990437,1.122170821,1.401666798,0.131867691,0.463039213,5.968788611,1.818514746
Solyc11g012860.2.1,10.52204171,6.936592292,7.154418387,4.460183541,8.531119856,13.71095472,25.64477117,8.981572319,9.013366724
Solyc11g012870.2.1,22.63121186,27.48169191,26.46017988,7.838027547,47.6619944,72.18821229,40.30951173,46.46255536,34.40745752
Solyc11g012880.2.1,0,0.065425357,0.042188662,0,0,0,0.201662114,0,0.533972816
Solyc11g012890.2.1,7.635100627,4.96688728,8.759941649,2.247285516,14.46319342,4.764602278,5.883863129,3.371481595,5.344264159
Solyc11g012900.2.1,29.11084262,51.54768633,34.83719302,61.19585784,17.26451481,16.40642303,30.4730517,39.19515615,19.32422673
Solyc11g012905.1.1,12.50445327,32.46778315,20.75440725,2.685563654,16.52503945,33.47970236,1.975209126,1.434286089,25.70418591
Solyc11g012910.2.1,21.95581835,1.336573093,9.439341853,3.572700823,11.95561535,21.45102631,11.14710921,1.139736756,17.02642352
Solyc11g012920.2.1,6.133018419,12.37829206,10.68230055,15.23165516,15.28192529,15.44147273,6.500234099,5.188300175,10.61215037
